Sygnatura czasowa,Jaka jest Twoja płeć,Jaki kierunek studiujesz?,Który rok studiujesz?,Wybierz stopień studiów,Wybierz tryb studiów,"Wybierz słowo, które najlepiej Ciebie opisuje (1 - Zamknięty/a w sobie, 2 - Powściągliwy/a, 3 - Śmiały/a, 4 - Wylewny/a)","Wybierz słowo, które najlepiej Ciebie opisuje (1 - Wrażliwy/a, 2 - Nieszkodliwy/a, 3 -Przebiegły/a, 4 - Dowcipny/a)","Wybierz słowo, które najlepiej Ciebie opisuje ( 1 - Uzdolniony/a artystycznie,  2 -Zrównoważony/a, 3 - Odważny/a, 4 -Rozmowny/a)","Wybierz słowo, które najlepiej Ciebie opisuje (1 - Biorący/a wszystko do siebie, 2 - Cierpliwy/a, 3 - Pochopny/a, 4 -Entuzjastyczny/a)        ","Jestem (1 - Wierny/a, 2 - Opanowany/a, 3 - Zdecydowany/a, 4 Kontaktowy/a)","Jestem (1 - Nostalgiczny, 2 - Dystansujący/a się, 3 - Niecierpliwy/a, 4 - Roztargniony/a)",stacjo_id,Czy preferujesz naukę stacjonarną?,W jakim stopniu czujesz się zmęczony/zmęczona po tygodniu nauki stacjonarnej? ,Ile minimum masz czasu na przerwę podczas nauki stacjonarnej (w minutach)?,Oceń atmosferę podczas zajęć stacjonarnych.,Oceń ergonomię swojego stanowiska pracy/nauki w trybie stacjonarnym.,Jak dużo czasu poświęcasz na samodoskonalenie się w kwestii umiejętności lub poszerzania horyzontów w trybie stacjonarnym?,"Jak często udaje Ci się zrealizować na czas zadania, które dostajesz na zajęciach praktycznych w trybie stacjonarnym?",Jak często udaje się zrealizować na czas projekty zespołowe w trybie stacjonarnym?,Jak często nie udaje Ci się zrealizować zadań do wykonania podczas nauki stacjonarnej?,Jak bardzo jesteś zmotywowany/zmotywowana do nauki w trybie stacjonarnym?,Czy czujesz się zmęczony/zmęczona po jednym dniu zajęć stacjonarnych? ,"Jaki wpływ ma miejsce, w którym się uczysz stacjonarnie na Twoją organizację nauki?",Jak oceniasz organizację nauki w trybie stacjonarnym?,Jak często pomagasz innym członkom zespołu podczas zajęć stacjonarnych?,Jak często inni członkowie zespołu udzielają pomocy Tobie podczas zajęć stacjonarnych?,Jak często występują konflikty w zespole podczas pracy zespołowej w trybie stacjonarnym?,Jak oceniasz przyrost Twojej wiedzy podczas zajęć w trybie stacjonarnym?,Jak oceniasz kontakt z prowadzącymi zajęcia w trybie stacjonarnym?,Jak bardzo jesteś skupiony/skupiona na zajęciach w trybie stacjonarnym?,Jak dobrze sobie radzisz na studiach w trybie stacjonarnym?,Czy wykonujesz dodatkowe aktywności związane z funkcjonowaniem uczelni w trybie stacjonarnym?,Czy odpowiadają Ci formy zaliczenia przedmiotów w trybie stacjonarnym?,zdal_id,Czy preferujesz naukę zdalną?,W jakim stopniu czujesz się zmęczony/zmęczona po tygodniu nauki zdalnej? ,Ile minimum masz czasu na przerwę podczas nauki zdalnej (w minutach)?,Oceń atmosferę podczas zajęć zdalnych.,Oceń ergonomię swojego stanowiska pracy/nauki w trybie zdalnym.,Jak dużo czasu poświęcasz na samodoskonalenie się w kwestii umiejętności lub poszerzania horyzontów w trybie zdalnym?,"Jak często udaje Ci się zrealizować na czas zadania, które dostajesz na zajęciach praktycznych w trybie zdalnym?",Jak często udaje się zrealizować na czas projekty zespołowe w trybie zdalnym?,Jak często nie udaje Ci się zrealizować zadań do wykonania podczas nauki zdalnej?,Jak bardzo jesteś zmotywowany/zmotywowana do nauki w trybie zdalnym?,Czy czujesz się zmęczony/zmęczona po jednym dniu zajęć zdalnych? ,"Jaki wpływ ma miejsce, w którym się uczysz zdalnie na Twoją organizację w nauki?",Jak oceniasz organizację nauki w trybie zdalnym?,Jak często pomagasz innym członkom zespołu podczas zajęć zdalnych?,Jak często inni członkowie zespołu udzielają pomocy Tobie podczas zajęć zdalnych?,Jak często występują konflikty w zespole podczas pracy zespołowej w trybie zdalnym?,Jak oceniasz przyrost Twojej wiedzy podczas zajęć w trybie zdalnym?,Jak oceniasz kontakt z prowadzącymi zajęcia w trybie zdalnym?,Jak bardzo jesteś skupiony/skupiona na zajęciach w trybie zdalnym?,Jak dobrze sobie radzisz na studiach w trybie zdalnym?,Czy wykonujesz dodatkowe aktywności związane z funkcjonowaniem uczelni w trybie zdalnym?,Czy odpowiadają Ci się formy zaliczenia przedmiotów w trybie zdalnym?,Z jakiego komunikatora korzystasz?,Czy korzystasz z kamery video podczas zajęć w pracy zdalnej?, Jak oceniasz jakość audio i video używanego komunikatora? ,Jak oceniasz jakość komunikatora używanego przez Twoją uczelnię? ,Czy masz problemy ze zrozumieniem kontekstu wypowiedzi podczas porozumiewania się przez komunikator? 
2020/12/01 11:36:02 AM CET,Mężczyzna,Kognitywistyka ,2,Magister,Niestacjonarnie,2,3,4,2,4,2,23,Tak,3,15,4,3,3,2,2,4,4,2,4,4,4,4,4,3,3,3,3,Nie,4,23,Nie ma to dla mnie znaczenia,5,15,4,5,4,4,4,2,2,4,4,3,4,3,5,3,3,2,4,Nie,4,Microsoft teams,Nie,4,3,4
2020/12/01 11:56:32 AM CET,Mężczyzna,Informatyka,3,Inżynier,Stacjonarnie,1,1,2,2,2,2,24,Nie ma to dla mnie znaczenia,4,15,3,2,3,3,4,3,2,1,4,2,1,2,5,2,4,3,4,Nie,4,24,Tak,1,15,2,5,3,3,4,3,1,5,4,3,1,2,5,2,3,2,4,Nie,3,Microsoft teams,Nie,4,4,5
2020/12/01 12:15:02 PM CET,Kobieta,Kognitywistyka komunikacji,2,Licencjat,Stacjonarnie,3,1,1,4,1,2,25,Tak,2,15,4,2,2,3,3,3,5,2,5,4,3,3,3,5,5,5,4,Tak,4,25,Tak,4,15,2,5,4,5,5,5,2,5,2,1,1,1,2,2,3,2,3,Tak,4,Microsoft teams,Nie,4,4,3
2020/12/01 12:26:16 PM CET,Mężczyzna,Filozofia,2,Magister,Stacjonarnie,3,1,3,2,3,2,26,Nie,2,15,3,3,2,5,5,5,1,2,1,2,2,2,5,3,2,1,3,Nie,2,26,Tak,5,15,5,4,4,5,5,5,5,5,5,4,5,4,5,5,4,4,5,Nie,5,Microsoft teams,Tak,4,5,5
2020/12/01 12:30:14 PM CET,Kobieta,Zarządzanie i Inżynieria Produkcji ,4,Inżynier,Stacjonarnie,3,1,4,2,2,3,27,Tak,3,30,4,3,3,3,4,3,3,2,3,3,3,4,3,3,3,3,4,Tak,2,27,Nie,1,30,2,2,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,Nie,1,Microsoft teams,Nie,3,3,2
2020/12/01 12:34:04 PM CET,Kobieta,Zarządzanie i inżynieria produkcji,4,Inżynier,Stacjonarnie,2,2,2,1,2,2,28,Nie ma to dla mnie znaczenia,2,15,4,4,3,5,5,2,4,3,4,3,2,2,3,4,4,4,4,Nie,4,28,Nie ma to dla mnie znaczenia,5,15,2,3,2,3,1,3,1,5,2,1,3,3,1,1,2,1,3,Nie,2,Microsoft teams,Nie,4,4,4
2020/12/01 12:38:13 PM CET,Kobieta,Zarządzanie,4,Inżynier,Stacjonarnie,2,2,1,2,4,1,29,Tak,4,15,4,3,2,5,5,3,4,2,3,4,4,3,4,4,2,4,4,Nie,3,29,Nie,2,15,3,2,4,3,4,3,3,3,4,3,3,3,4,2,3,3,3,Nie,4,Microsoft teams,Nie,4,4,3
2020/12/01 12:43:02 PM CET,Kobieta,filozofia,2,Licencjat,Stacjonarnie,2,1,1,3,1,3,30,Tak,4,15,5,4,4,4,4,5,5,3,4,4,4,4,5,4,4,4,4,Nie,4,30,Nie,2,15,3,4,4,4,4,5,2,2,4,2,3,3,5,2,2,2,3,Nie,3,Microsoft teams,Tak,3,3,3
2020/12/01 12:43:19 PM CET,Kobieta,Zarządzanie,3,Inżynier,Stacjonarnie,3,4,2,3,4,3,31,Tak,3,60,4,3,2,4,2,3,2,3,2,2,1,1,4,2,2,1,4,Nie,4,31,Nie,3,60,3,2,2,4,2,4,2,3,2,2,1,1,4,2,3,1,3,Nie,4,Microsoft teams,Nie,3,3,2
2020/12/01 3:35:01 PM CET,Kobieta,Medycyna,4,Magister,Stacjonarnie,1,4,1,2,1,1,32,Nie ma to dla mnie znaczenia,2,15,3,2,2,5,5,5,3,2,4,2,3,3,5,2,2,3,3,Tak,3,32,Nie ma to dla mnie znaczenia,4,15,4,5,5,5,5,5,2,2,3,1,2,2,5,4,1,4,4,Tak,4,Microsoft teams,Tak,3,3,4
2020/12/01 5:50:05 PM CET,Kobieta,Kynologie,1,Inżynier,Stacjonarnie,3,1,3,4,3,2,33,Tak,3,15,3,3,4,4,5,4,3,2,2,3,4,5,5,4,3,3,3,Nie,3,33,Tak,3,30,5,5,5,5,5,5,4,4,5,5,5,5,5,5,3,4,5,Nie,5,Microsoft teams,Nie,5,5,5
2020/12/01 5:51:53 PM CET,Kobieta,Kynologia,1,Inżynier,Stacjonarnie,3,1,3,2,1,1,34,Tak,4,30,5,3,3,5,4,5,5,3,5,5,5,4,3,4,5,3,4,Nie,5,34,Tak,4,30,5,4,3,5,5,5,3,2,3,4,5,4,3,4,5,3,3,Nie,5,Microsoft teams,Nie,3,3,3
2020/12/01 5:52:46 PM CET,Kobieta,Kynologia,1,Inżynier,Stacjonarnie,4,1,4,4,1,3,35,Tak,3,15,4,4,4,5,5,5,4,2,3,3,2,4,5,4,4,4,3,Nie,3,35,Nie,2,30,3,2,3,4,4,5,2,2,3,3,4,4,5,2,3,2,3,Nie,4,Microsoft teams,Nie,3,3,3
2020/12/01 5:53:28 PM CET,Kobieta,Kynologia,1,Inżynier,Stacjonarnie,4,1,4,4,4,1,36,Nie ma to dla mnie znaczenia,3,30,5,4,5,5,5,5,5,3,4,5,3,4,4,5,5,4,4,Tak,4,36,Nie ma to dla mnie znaczenia,5,30,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,Tak,5,Microsoft teams,Nie,4,4,5
2020/12/01 5:54:01 PM CET,Kobieta,kynologia ,1,Inżynier,Stacjonarnie,3,1,1,2,2,4,37,Tak,3,30,4,4,4,4,4,4,4,3,4,5,4,4,4,5,5,5,5,Tak,5,37,Nie,2,60,4,2,2,2,2,5,4,5,3,3,4,4,2,5,2,5,3,Nie,5,Microsoft teams,Nie,2,4,5
2020/12/01 5:56:54 PM CET,Kobieta,Kynologia ,1,Inżynier,Stacjonarnie,3,4,4,1,4,2,38,Tak,1,15,5,3,5,5,5,5,2,1,5,5,3,5,5,5,5,5,5,Tak,3,38,Tak,5,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,Tak,5,Microsoft teams,Nie,3,5,4
2020/12/01 5:59:55 PM CET,Kobieta,Kynologia,1,Inżynier,Stacjonarnie,3,1,2,4,3,4,39,Tak,3,30,5,3,5,5,5,5,5,3,5,5,3,5,4,5,5,5,5,Nie,3,39,Nie,5,30,3,1,5,3,1,5,2,5,2,3,3,5,3,3,4,2,3,Nie,3,Microsoft teams,Nie,3,3,3
2020/12/01 6:02:29 PM CET,Kobieta,Kynologia,1,Inżynier,Stacjonarnie,4,4,1,2,2,1,40,Nie,2,30,2,1,4,4,5,5,2,2,3,2,5,5,4,4,4,1,5,Tak,5,40,Nie,1,15,2,1,4,4,5,4,1,2,2,2,5,5,4,4,3,1,4,Tak,5,Microsoft teams,Nie,4,4,4
2020/12/01 6:35:40 PM CET,Kobieta,Kynologia,1,Inżynier,Stacjonarnie,2,1,2,1,4,1,41,Nie ma to dla mnie znaczenia,4,30,3,4,2,3,4,4,4,4,5,4,4,4,3,5,4,4,3,Nie,3,41,Nie ma to dla mnie znaczenia,5,30,5,5,2,5,5,5,2,3,2,4,5,4,5,4,5,2,5,Nie,5,Microsoft teams,Nie,4,5,5
2020/12/01 7:38:14 PM CET,Kobieta,Kynologia,1,Inżynier,Stacjonarnie,2,4,1,1,1,3,42,Tak,3,15,4,4,3,3,4,3,4,3,4,3,4,4,5,4,4,4,4,Tak,3,42,Nie,1,30,2,3,3,5,5,5,1,2,2,3,4,4,4,4,3,1,5,Nie,4,Microsoft teams,Nie,4,4,3
2020/12/02 12:50:48 AM CET,Mężczyzna,Kognitywistyka,2,Licencjat,Stacjonarnie,3,3,3,3,3,2,43,Nie ma to dla mnie znaczenia,3,15,3,5,5,3,4,4,2,3,5,3,3,1,3,2,3,4,4,Tak,4,43,Tak,3,15,3,3,5,2,4,2,4,3,5,3,4,3,4,4,1,3,5,Tak,5,Microsoft teams,Nie,5,5,5
2020/12/02 3:18:26 PM CET,Kobieta,Informatyka,3,Inżynier,Stacjonarnie,2,1,2,4,2,1,44,Tak,3,30,5,4,2,4,5,4,4,3,5,4,4,4,5,4,5,4,4,Nie,5,44,Nie,4,15,4,3,3,3,5,2,2,2,2,4,4,4,5,2,3,2,2,Nie,4,Microsoft teams,Nie,4,4,4
2020/12/02 3:19:17 PM CET,Mężczyzna,Informatyka,3,Inżynier,Stacjonarnie,2,2,2,2,2,2,45,Tak,3,30,5,4,3,4,3,2,4,3,4,4,5,5,4,4,4,4,5,Nie,4,45,Nie,4,0,3,5,2,2,3,4,2,2,3,2,3,2,4,3,2,2,5,Nie,3,Microsoft teams,Nie,4,2,4
2020/12/02 3:23:07 PM CET,Mężczyzna,Informatyka,3,Inżynier,Stacjonarnie,3,3,1,2,4,1,46,Nie,2,0,2,1,2,2,1,2,1,4,5,3,2,2,5,2,2,1,3,Nie,2,46,Tak,2,15,5,3,4,5,5,4,5,3,5,4,5,3,4,4,5,3,5,Nie,4,Microsoft teams,Nie,3,3,5
2020/12/02 3:23:20 PM CET,Kobieta,Informatyka,3,Inżynier,Stacjonarnie,2,1,2,4,2,2,47,Tak,4,15,4,3,2,5,5,5,4,2,5,4,3,3,5,4,4,5,5,Nie,2,47,Nie,1,15,3,5,2,5,5,5,2,2,5,2,4,4,5,2,2,3,4,Nie,4,Microsoft teams,Tak,4,4,5
2020/12/02 3:26:49 PM CET,Mężczyzna,Informatyka,4,Inżynier,Stacjonarnie,3,4,1,2,1,2,48,Nie,4,30,3,3,3,3,4,2,3,2,3,3,3,1,5,3,3,2,3,Nie,3,48,Tak,4,30,4,4,4,5,5,2,4,4,4,4,3,1,5,4,4,4,4,Nie,4,Microsoft teams,Nie,4,5,5
2020/12/02 3:26:49 PM CET,Mężczyzna,Informatyka,3,Inżynier,Stacjonarnie,2,2,2,3,4,4,49,Tak,4,30,4,4,2,4,3,3,3,4,4,4,4,3,4,3,4,4,3,Nie,4,49,Nie,2,15,2,4,2,3,4,3,1,3,5,3,3,2,4,3,3,2,2,Nie,4,Microsoft teams,Tak,4,4,5
2020/12/02 3:29:38 PM CET,Kobieta,Informatyka,3,Inżynier,Stacjonarnie,1,2,2,2,3,2,50,Nie,5,15,2,2,1,2,3,2,2,2,3,4,3,5,2,3,4,4,1,Nie,2,50,Tak,2,15,5,5,4,4,4,4,3,3,5,4,4,4,2,5,3,5,5,Tak,5,Microsoft teams,Nie,5,5,5
